name,wigosid,country code,in OSCAR,longitude,latitude,#received,#expected,default schedule,color code,description,date,center
NORDERNEY (AEROLOGY),0-20001-0-10113,DEU,True,7.15158,53.71199,62,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
OBERSCHLEIßHEIM (AEROLOGY),0-20001-0-10868,DEU,True,11.55254,48.24459,64,62,False,purple,More than declared in OSCAR/Surface,2026-07-01 00:00:00+00:00,ECMWF
TONGLIAO,0-20000-0-54135,CHN,True,122.35,43.66,62,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
Unknown,42056,,False,74.83000183105469,32.779998779296875,4,0,False,yellow,No match in OSCAR/Surface,2026-07-01 00:00:00+00:00,DWD
GRACIOSA/AERODROMO,0-620-2001-08507,PRT,True,-28.02994,39.09131,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
BARCELONA SERVEI,0-20000-0-08190,ESP,True,2.11806,41.38444,53,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
ANQING,0-20000-0-58424,CHN,True,116.96667,30.61667,62,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
CHIFENG (54218-1),0-20001-0-54218,CHN,True,118.83333,42.3,58,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
ERENHOT (53068-1),0-20001-0-53068,CHN,True,111.95,43.63333,60,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
HAILAR (50527-1),0-20001-0-50527,CHN,True,119.7,49.25,62,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
HARBIN (50953-1),0-20001-0-50953,CHN,True,126.56667,45.93333,58,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
HUAIHUA,0-20000-0-57749,CHN,True,110.03,27.6,62,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
QAMDO (56137-1),0-20001-0-56137,CHN,True,97.16667,31.15,57,62,True,green,Complete,2026-07-01 00:00:00+00:00,DWD
WU LU MU QI (51463-1),0-20001-0-51463,CHN,True,87.61667,43.78333,62,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
XINING (52866-1),0-20001-0-52866,CHN,True,101.7167,36.65,60,62,False,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
YAN AN (53845-1),0-20001-0-53845,CHN,True,109.45,36.56667,60,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
YUSHU (56029-1),0-20001-0-56029,CHN,True,96.95,33.0,60,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
Unknown,9ZT9MRK,,False,-8.800000190734863,62.61000061035156,1,0,False,yellow,No match in OSCAR/Surface,2026-07-01 00:00:00+00:00,JMA
NOUADHIBOU,0-20000-0-61415,MRT,True,-17.03639,20.92028,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
NOUAKCHOTT / Oumtounsy,0-20000-0-61442,MRT,True,-15.97543,18.30026,0,62,True,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
Beni Mellal Sidi Jaber,0-20000-0-60191,MAR,True,-6.4,32.36667,0,31,False,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
Errachidia,0-20000-0-60210,MAR,True,-4.4,31.93333,0,31,False,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
Taroudant,0-20000-0-60253,MAR,True,-8.81667,30.5,8,31,False,red,Availability issue (< 30%),2026-07-01 00:00:00+00:00,ECMWF
SEYCHELLES INTER. AIRPORT (RAWINSONDE STATION),0-20000-0-63985,SYC,True,55.5308,-4.679,0,62,False,black,Not received in period,2026-07-01 00:00:00+00:00,DWD
PRETORIA (IRENE),0-20000-0-68263,ZAF,True,28.2106,-25.9105,44,62,False,orange,Availability issue (> 30%),2026-07-01 00:00:00+00:00,ECMWF
TENERIFE-GUIMAR,0-20000-0-60018,ESP,True,-16.38222,28.31833,60,62,True,green,Complete,2026-07-01 00:00:00+00:00,ECMWF
TOZEUR,0-20000-0-60760,TUN,True,8.16667,33.91667,19,248,False,red,Availability issue (< 30%),2026-07-01 00:00:00+00:00,ECMWF
